provision_id,provision,directive_requirement,nl_implementation,status,extract
agreement-form-information,"Form & content of the agreement (CCD2 arts 20-21)","Durable medium + copy; expanded mandatory content list incl. debt-advisory contacts","BW 7:61 recast: phone/email of parties, arrears warning, durable-medium choice, new onderdeel x (debt-advisory contacts)","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-61"
agreement-modifications,"Modifications & borrowing-rate changes (CCD2 arts 22-23)","Modification information duties; good-time notice of any borrowing-rate change","BW 7:62: 'geruime tijd' advance notice; periodic-info derogation only for reference-rate-linked changes","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-62"
overdraft-overrunning,"Overdraft & overrunning (CCD2 arts 24-25)","Monthly statements; 30-day notice of reduction; 12-instalment repayment; overrun referral to debt advice","BW 7:63 (overdraft: ≥ monthly, 30-day notice, 12 instalments) and 7:70 (overrunning: referral + repayment right)","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-63"
withdrawal-linked-credit,"Right of withdrawal & linked credit (CCD2 arts 26-27)","14-day withdrawal; 12-months-14-days backstop if terms missing; linked-credit unbinding","BW 7:66: 12-months-14-days backstop where terms not provided; extension to match a >14-day return policy","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-66"
openend-early-repayment,"Open-end agreements & early repayment (CCD2 arts 28-29)","Free termination of open-end credit; early-repayment cost reduction; capped compensation","BW 7:68: all costs counted in the cost reduction; compensation threshold lifted €75,000 to €100,000","In bill 36924","extracts/transposition-nl/36924_artikel-II-bw7.md#bw-7-68"
apr-calculation,"Calculation of the APR (CCD2 art 30)","Harmonised APR formula (Annex III) and total-cost-of-credit components","Formula in the Besluit kredietvergoeding; BW 7:71 updates the art 19 to art 30 cross-reference","In bill 36924 + Implementatiebesluit","extracts/transposition-nl/amvb_implementatiebesluit.md#besluit-kredietvergoeding"
cost-caps,"Caps on rate / APR / total cost (CCD2 art 31)","Mandatory measures to prevent excessively high borrowing rates, APRs or total costs — 'such as caps'","Largely pre-existing: the maximale kredietvergoeding under BW 7:76; measures reported to the Commission by 20 Nov 2026","In bill 36924 + Implementatiebesluit","extracts/transposition-nl/amvb_implementatiebesluit.md#besluit-kredietvergoeding"
conduct-of-business,"Conduct-of-business obligations (CCD2 art 32)","Honest, fair, transparent and professional conduct; remuneration must not impede it","Largely pre-existing Wft 4:24a zorgplicht + BGfo beloningsregels; new credit types fitted into the framework","In bill 36924","extracts/directive/apr-conduct.md#article-32"
staff-competence,"Staff knowledge & competence (CCD2 art 33)","Up-to-date staff knowledge and competence; minimum requirements; competent-authority supervision","Delivered via the existing Wft 4:9 / BGfo vakbekwaamheid regime, with AFM as supervisor","In bill 36924","extracts/directive/apr-conduct.md#article-33"
financial-education,"Financial education (CCD2 art 34)","Promote consumer education on responsible borrowing and debt management","Mainly non-legislative (Wijzer in geldzaken etc.); treated as a promotional duty in the MvT","In bill 36924 (non-legislative)","extracts/directive/forbearance-intermediaries-authorities.md#article-34"
arrears-forbearance,"Arrears & forbearance + debt advisory (CCD2 arts 35-36)","Reasonable forbearance before enforcement; early detection and referral to debt advisory services","New Wft 4:35b (early detection + referral) and BW 7:68a (referral duty); existing arrears-respite in BW 70a/128aa + Wft 4:35a","In bill 36924","extracts/transposition-nl/36924_artikel-I-wft.md#wft-4-35b"
creditor-intermediary-supervision,"Admission, registration & supervision (CCD2 arts 37-38)","Admission, registration and supervision of non-bank creditors/intermediaries; intermediary disclosure","AFM licence (2:60) for in-scope providers; Wft 2:64c + 2:81 (ancillary/large-supplier regime)","In bill 36924","extracts/transposition-nl/36924_artikel-I-wft.md#wft-2-64c"
assignment-of-rights,"Assignment of rights (CCD2 art 39)","Consumer may plead defences against an assignee; notice of assignment","Existing BW Boek 7 + Boek 6 cessie rules; conforming references only","In bill 36924","extracts/directive/forbearance-intermediaries-authorities.md#article-39"
dispute-resolution-authorities,"Out-of-court dispute resolution & competent authorities (CCD2 arts 40-41)","Adequate out-of-court ADR; independent competent authority; optional product-intervention power","Kifid ADR; AFM as authority; new Wft 1:77q product-intervention power; penalties added to the 1:79/1:80 annexes","In bill 36924","extracts/transposition-nl/36924_artikel-I-wft.md#wft-1-79"
harmonisation-penalties-transitional,"Harmonisation, penalties & transitional (CCD2 arts 42-47)","Maximum harmonisation; effective/proportionate/dissuasive penalties; CCD1 repealed 20 Nov 2026 with a transitional regime","Penalties via Wft 1:79/1:80; transitional regime in Overgangswet NBW 211a; entry into force 20 Nov 2026 (+6m deferred-debit)","In bill 36924","extracts/transposition-nl/36924_artikel-IV-overgangswet.md#ow-211a"
